Week	Day	Office	Ant.	Psalm/Cant
C	3	Vespers	Mag	Mag
C	4	Lauds	1	Ps 86
C	4	Lauds	2	Isa 33:13-16
C	4	Lauds	3	Ps 98
C	4	Lauds	Ben	Ben
C	4	Vespers	1	Ps 126
C	4	Vespers	2	Ps 127
C	4	Vespers	3	Col 1:12-20
C	4	Vespers	Mag	Mag
C	5	Lauds	1	Ps 87
C	5	Lauds	2	Isa 40:10-17
C	5	Lauds	3	Ps 99
C	5	Lauds	Ben	Ben
C	5	Vespers	1	Ps 132:1-10
C	5	Vespers	2	Ps 132:11-18
C	5	Vespers	3	Rev 11:17-18; 12:10b-12a
C	5	Vespers	Mag	Mag
C	6	Lauds	1	Ps 51
C	6	Lauds	2	Jer 14:17-21
C	6	Lauds	3	Ps 100
C	6	Lauds	Ben	Ben
C	6	Vespers	1	Ps 135:1-12
C	6	Vespers	2	Ps 135:13-21
C	6	Vespers	3	Rev 15:3-4
C	6	Vespers	Mag	Mag
C	7	Lauds	1	Ps 119:145-152 (XIX: Koph)
C	7	Lauds	2	Wis 9:1-6, 9-11
C	7	Lauds	3	Ps 117
C	7	Lauds	Ben	Ben
D	0	Vespers	1	Ps 122
D	0	Vespers	2	Ps 130
D	0	Vespers	3	Phil 2:6-11
D	0	Vespers	Mag	Mag
D	1	Lauds	1	Ps 118
D	1	Lauds	2	Dan 3:52-57
D	1	Lauds	3	Ps 150
D	1	Lauds	Ben	Ben
D	1	Vespers	1	Ps 110:1-5, 7
D	1	Vespers	2	Ps 112
D	1	Vespers	3	Rev 19:1-7 (Lent 1 Pet 2:21-24)
D	1	Vespers	Mag	Mag
D	2	Lauds	1	Ps 90
D	2	Lauds	2	Isa 42:10-16
D	2	Lauds	3	Ps 135:1-12
D	2	Lauds	Ben	Ben
D	2	Vespers	1	Ps 136:1-9
D	2	Vespers	2	Ps 136:10-26
D	2	Vespers	3	Eph 1:3-10
D	2	Vespers	Mag	Mag
D	3	Lauds	1	Ps 101
D	3	Lauds	2	Dan 3:26, 27, 29, 34-41
D	3	Lauds	3	Ps 144:1-10
D	3	Lauds	Ben	Ben
D	3	Vespers	1	Ps 137:1-6
D	3	Vespers	2	Ps 138
D	3	Vespers	3	Rev 4:11; 5:9, 10, 12
D	3	Vespers	Mag	Mag
D	4	Lauds	1	Ps 108
D	4	Lauds	2	Isa 61:10--62:5
D	4	Lauds	3	Ps 146
D	4	Lauds	Ben	Ben
D	4	Vespers	1	Ps 139:1-12
D	4	Vespers	2	Ps 139:13-18, 23-24
D	4	Vespers	3	Col 1:12-20
D	4	Vespers	Mag	Mag
D	5	Lauds	1	Ps 143:1-11
D	5	Lauds	2	Isa 66:10-14a
D	5	Lauds	3	Ps 147:1-11
D	5	Lauds	Ben	Ben
D	5	Vespers	1	Ps 144:1-8
D	5	Vespers	2	Ps 144:9-15
D	5	Vespers	3	Rev 11:17-18; 12:10b-12a
D	5	Vespers	Mag	Mag
D	6	Lauds	1	Ps 51
D	6	Lauds	2	Tobit 13:8-11, 13-15
D	6	Lauds	3	Ps 147:12-20
D	6	Lauds	Ben	Ben
D	6	Vespers	1	Ps 145:1-13a
D	6	Vespers	2	Ps 145:13b-21
D	6	Vespers	3	Rev 15:3-4
D	6	Vespers	Mag	Mag
D	7	Lauds	1	Ps 92
D	7	Lauds	2	Ezek 36:24-28
D	7	Lauds	3	Ps 8
D	7	Lauds	Ben	Ben
